extra_1,ошибки,домен,домен_корр,бе,бе_корр,цфо,мвз,суперпродукт,продукт_1с_ух,фин_клиент,ключевой_клиент,направление,екдр,pl_ручной_ввод,статья_pl,организация,домен_от_контрагента,бе_от_контрагента,контрагент,l_контрагент_1с_ух,id_сделки,бизнес_категория,проект,l_проект_1с_ух,проект_1с_ух_наименование,тип_проекта_1с_ух,комментарий,отв,ставка_ндс,не_рассчитывать_cf,cf_поквартально,cf_в_каком_месяце_признавать,смещение_сумм_cf_мес,pl_jan,pl_feb,pl_mar,pl_apr,pl_may,pl_jun,pl_jul,pl_aug,pl_sep,pl_oct,pl_nov,pl_dec,pl_fy,статья_cf_кодификатор,статья_cf_корректировка,статья_cf,cf_jan,cf_feb,cf_mar,cf_apr,cf_may,cf_jun,cf_jul,cf_aug,cf_sep,cf_oct,cf_nov,cf_dec,cf_fy,extra_64,extra_65,extra_66,extra_67,extra_68
#956,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Центр сопровождения клиентов,Центр сопровождения клиентов,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020200 | Расходы на лицензии для перепродажи,\N,11020200 | Себестоимость проданных лицензий,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ЦБ,МУЛЬТИКАРТА_11_ЦБ,Процессинг,Лицензии ДБО ЦБ,\N,0,true,false,\N,0,0,0,0,9500000,0,0,0,0,0,0,0,0,9500000,\N,"CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи","CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи",0,0,0,9500000,0,0,0,0,0,0,0,0,9500000,11020000,CF02020000,9500000,9500000,CF02
#957,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Центр сопровождения клиентов,Центр сопровождения клиентов,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Право пользование на ПО LAN-4Tap,\N,0,true,false,\N,0,0,0,0,0,0,0,0,8333.3333333333,8333.3333333333,8333.3333333333,8333.3333333333,8333.3333333333,41666.666666667,\N,"CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи","CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи",0,0,0,0,0,0,0,500000,0,0,0,0,500000,35010000,CF02020000,41666.6666666665,500000,CF02
#958,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Центр сопровождения клиентов,Центр сопровождения клиентов,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,МУЛЬТИКАРТА_11_СЕРВЕРА,Процессинг,Лицензия на программное обеспечение «WebIUS 2___0»,\N,0,true,false,\N,0,147000,0,0,315000,0,0,0,0,0,0,0,0,462000,\N,"CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи","CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи",147000,0,0,315000,0,0,0,0,0,0,0,0,462000,35010000,CF02020000,315000,315000,CF02
#959,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент развития технологий,Департамент развития технологий,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020406 | Услуги по заказной разработке ПО,\N,11020406 | Заказная разработка ПО,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Доработка Программного решения по автоматизации бизнесс-процессов управления (СУТС) ВТБ,\N,0.22,true,false,\N,0,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,1556352.4590164,18676229.508197,\N,"CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи","CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи",1898750,1898750,1898750,1898750,1898750,1898750,1898750,1898750,1898750,1898750,1898750,1898750,22785000,11020000,CF02020000,15563524.590163996,18987500,CF02
#960,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент развития технологий,Департамент развития технологий,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Доработка Программного решения по автоматизации бизнесс-процессов управления (СУТС) ПБ,\N,0.22,true,false,\N,0,284836.06557377,284836.06557377,284836.06557377,284836.06557377,284836.06557377,0,0,0,0,0,0,0,1424180.3278689,\N,"CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи","CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи",347500,347500,347500,347500,347500,0,0,0,0,0,0,0,1737500,35010000,CF02020000,854508.19672131,1042500,CF02
#961,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Мультикарта_Департамент процессинга_Бюджет МВЗ,Мультикарта_Департамент процессинга_Бюджет МВЗ,Внутренние проекты,Продление подписки (лицензий) Kaspersky,\N,0,true,false,\N,0,0,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,2750000,\N,"CF02040200|Платежи за лицензии, за программное обеспечение","CF02040200|Платежи за лицензии, за программное обеспечение",0,3000000,0,0,0,0,0,0,0,0,0,0,3000000,35010000,CF02040000,2500000,0,CF02
#962,Не заполнен Фин.клиент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",Домен Интеграция,БЕ Т1 Клауд,\N,Т1КЛАУД ООО,\N,Процессинг,\N,Мультикарта_Департамент процессинга_Бюджет МВЗ,Мультикарта_Департамент процессинга_Бюджет МВЗ,Внутренние проекты,ДИОН_____,\N,0.22,true,false,\N,0,0,0,399000,0,0,0,0,0,0,0,0,0,399000,\N,"CF02040200|Платежи за лицензии, за программное обеспечение","CF02040200|Платежи за лицензии, за программное обеспечение",0,0,486780,0,0,0,0,0,0,0,0,0,486780,35010000,CF02040000,399000,486780,CF02
#963,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,zVirt,\N,0.22,true,false,\N,0,0,0,0,0,0,218579.23497268,218579.23497268,218579.23497268,218579.23497268,218579.23497268,218579.23497268,218579.23497268,1530054.6448087,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,16000000,0,0,0,0,0,0,16000000,35010000,CF05020000,1530054.64480876,16000000,CF05
#964,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Мультикарта_Департамент процессинга_Бюджет МВЗ,Мультикарта_Департамент процессинга_Бюджет МВЗ,Внутренние проекты,Приобритение антивирусного ПО DrWeb для почтовых серверов,\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,34153.005464481,34153.005464481,34153.005464481,34153.005464481,136612.02185792,\N,"CF02040200|Платежи за лицензии, за программное обеспечение","CF02040200|Платежи за лицензии, за программное обеспечение",0,0,0,0,0,0,0,0,500000,0,0,0,500000,35010000,CF02040000,136612.021857924,500000,CF02
#965,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Astra Linux Special Edition (пользовательские),\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,68306.010928962,68306.010928962,68306.010928962,68306.010928962,273224.04371585,\N,"CF02040200|Платежи за лицензии, за программное обеспечение","CF02040200|Платежи за лицензии, за программное обеспечение",0,0,0,0,0,0,0,0,5000000,0,0,0,5000000,35010000,CF02040000,273224.043715848,5000000,CF02
#966,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Astra Linux Special Edition (серверные),\N,0.22,true,false,\N,0,0,0,0,0,0,0,0,0,341530.05464481,341530.05464481,341530.05464481,341530.05464481,1366120.2185792,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,0,0,0,0,0,0,0,25000000,0,0,0,25000000,35010000,CF05020000,1366120.21857924,25000000,CF05
#967,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ЧИСЛЕННОСТЬ,МУЛЬТИКАРТА_11_ЧИСЛЕННОСТЬ,Процессинг,СУР (новые доработки),\N,0.22,true,false,\N,0,0,0,51229.508196721,51229.508196721,51229.508196721,51229.508196721,51229.508196721,51229.508196721,136612.02185792,136612.02185792,136612.02185792,136612.02185792,853825.13661202,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,1500000,0,0,0,0,0,2500000,0,0,0,4000000,35010000,CF05010000,853825.136612006,4000000,CF05
#968,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Процессинг,SDF (новые доработки),\N,0.22,true,false,\N,0,0,0,51229.508196721,51229.508196721,51229.508196721,51229.508196721,51229.508196721,51229.508196721,102459.01639344,102459.01639344,102459.01639344,102459.01639344,717213.1147541,\N,CF05010202|Приобретение НМА для обеспечения текущей деятельности,CF05010202|Приобретение НМА для обеспечения текущей деятельности,0,0,1500000,0,0,0,0,0,1500000,0,0,0,3000000,35010000,CF05010000,717213.114754086,3000000,CF05
#969,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,SyncXpert,\N,0.22,true,false,\N,0,0,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,204918.03278689,2254098.3606557,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,15000000,0,0,0,0,0,0,0,0,0,0,15000000,35010000,CF05020000,2049180.3278688996,0,CF05
#970,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,мелкие подписки (Яндекс),\N,0,true,false,\N,0,0,0,400000,0,0,400000,0,1200000,0,0,0,0,2000000,\N,"CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи","CF02020300|Платежи за приобретение ПО, лицензий, сертификатов для перепродажи",0,0,400000,0,0,400000,0,1200000,0,0,0,0,2000000,35010000,CF02020000,2000000,2000000,CF02
#971,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,35010200 | Амортизация НМА,\N,35010200 | Амортизация нематериальных активов,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Процессинг,Импортозамещение Терминальный доступ (Termidesk),\N,0,true,false,\N,0,0,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,333333.33333333,3666666.6666667,\N,"CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения","CF05020201|Приобретение Программного обеспечения, лицензий производственного назначения",0,12000000,0,0,0,0,0,0,0,0,0,0,12000000,35010000,CF05020000,3333333.3333333004,0,CF05
