номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
МКУХ-005322,01.03.2026 0:00:00,Услуги,ОМЕГА.С ООО,2367030500,237801001,Заявка 2 к OM24-11-3-VG от 16.02.2026,Заявка 2 к OM24-11-3-VG,MK26-02-8-VGO,03.02.2026 11:29:12,Департамент информационных технологий ЦСП,"CF02040200 Платежи за лицензии, за программное обеспечение",Лицензионные сборы за программное обеспечение,00ДО-0000227340,ДО,руб.,2,Услуги от поставщика,Талнэкс модуль Admin расширенная функциональность в составе: Целеполагание Карьерные маршруты Маркет Кафетерий льгот Кабинет руководителя Опросы и оценка Agile-биржа,Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,Без НДС,\N,115500,Да,\N,\N,26,Расходы на лицензии за программное обеспечение (22020400),\N
МКУХ-005322,01.03.2026 0:00:00,Услуги,ОМЕГА.С ООО,2367030500,237801001,Заявка 2 к OM24-11-3-VG от 16.02.2026,Заявка 2 к OM24-11-3-VG,MK26-02-8-VGO,03.02.2026 11:29:12,Департамент информационных технологий ЦСП,"CF02040200 Платежи за лицензии, за программное обеспечение",Лицензионные сборы за программное обеспечение,00ДО-0000227340,ДО,руб.,1,Услуги от поставщика,Талнэкс модуль Admin базовая функциональность,Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,Без НДС,\N,144540,Да,\N,\N,26,Расходы на лицензии за программное обеспечение (22020400),\N
"Поступление (акт, накладная, УПД) МКУХ-005198 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002241 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005198,01.03.2026 0:00:00,Услуги,АВЕЛАКОМ БИЗНЕС ООО,7743195070,774301001,Договор № 77/357 от 01.07.2017,77/357,7669/МК,03.08.2017 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000146733,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,4327.87,24000,Да,\N,\N,20.01,ПР: авторизации,"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005199 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002243 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005199,01.03.2026 0:00:00,Услуги,ФЛЕКС ООО,5031018470,503101001,Договор №208/INTБ-1 от 22.08.2011,208/INTБ-1,5088/МК,15.09.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148712,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Предоставление доступа к услугам связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,139017.69,770915.03,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005203 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002318 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005203,01.03.2026 0:00:00,Услуги,"Макрорегиональный филиал ""Центр"" ПАО ""Ростелеком""",7707049388,773443001,Договор №ЦПКК-11-115000001975/2001/11-Ц от 14.06.2011,ЦПКК-11-115000001975/2001/11-Ц,3157/МК,23.06.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000149314,ДО,руб.,1,Услуги от поставщика,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,82935.7,459916.32,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005382 от 01.03.2026 3:59:59",Отражение фактических данных МКУХ-002741 от 01.03.2026 3:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005382,01.03.2026 3:59:59,Услуги,БАНК ВТБ (ПАО) (КПП 783543005) СЗ (аренда),7702070139,783543005,Договор Аренды N 405-07/11С от 21.07.2010г. электроэнергия,N 405-07/11С,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Электроэнергия за декабрь 2025,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,Без НДС,\N,945736.68,Нет,\N,\N,26,"Расходы по аренде зданий, офисов, складских помещений (220301011)",\N
"Поступление (акт, накладная, УПД) МКУХ-005457 от 01.03.2026 17:57:20",Отражение фактических данных МКУХ-003141 от 01.03.2026 17:57:20,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005457,01.03.2026 17:57:20,Услуги,МИРАНДА-МЕДИА ООО,7702527584,910201001,К911 от 15.06.2025,К911,MK25-06-33-LC,02.06.2025 16:23:09,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000198688,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи за декабрь 2024,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,20%,3617.2,21703.23,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004983 от 01.03.2026 19:48:07",Отражение фактических данных МКУХ-001908 от 01.03.2026 19:48:07,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004983,01.03.2026 19:48:07,Услуги,ФАТУМ-3 ООО,1657048628,165901001,4142-25/3 от 20.02.2026,4142-25/3,MK26-02-15-LC,09.02.2026 17:10:02,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000228144,ДО,руб.,1,Услуги связи,Услуги связи за март 2026 г.,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,1180.95,24800,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005315 от 01.03.2026 23:25:45",Отражение фактических данных МКУХ-002589 от 01.03.2026 23:25:45,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005315,01.03.2026 23:25:45,Услуги,МАГЛАН ООО,4909906720,490901001,Договор №1204108 от 01.04.12,1204108,4120/МК,02.05.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000149176,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2478.67,13745.34,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005186 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002218 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005186,01.03.2026 23:59:59,Услуги,ИНФОЛАДА ООО,6320006309,632101001,Договор №1162278 от 12.08.2011,1162278,4602/МК,29.08.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000149085,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,7326,40626,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005187 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002219 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005187,01.03.2026 23:59:59,Услуги,УФАНЕТ АО,278109628,27801001,Договор №RK9420-11 от 27/10/11,RK9420-11,313/МК,16.01.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000146737,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Абонентская плата за услуги связи по сети интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,10680.27,59226.96,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005188 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002221 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005188,01.03.2026 23:59:59,Услуги,ОКТОПУСНЕТ ООО,2536136712,253601001,Договор №305109 от 13.02.2018,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,531.61,2948,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005189 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002222 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005189,01.03.2026 23:59:59,Услуги,ОКТОПУСНЕТ ООО,2536136712,253601001,Договор №305109 от 13.02.2018,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,220,1220,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005191 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002225 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005191,01.03.2026 23:59:59,Услуги,ПОЧТА РОССИИ АО 997650001,7724490000,997650001,1939/24-МР77 от 18.11.2024,1939/24-МР77,MK24-09-21-LLС,09.09.2024 13:09:40,Административный департамент ЦСП,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000163296,ДО,руб.,1,Услуги от поставщика,Почтовые услуги,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,850.13,4714.38,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
"Поступление (акт, накладная, УПД) МКУХ-005192 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002229 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005192,01.03.2026 23:59:59,Услуги,КПС ООО,2464236955,770301001,Договор  № 81956 от 27.08.2018,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,91.97,510,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005193 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002230 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005193,01.03.2026 23:59:59,Услуги,ГОРПТУС ООО,3128057285,312801001,Договор №00286 от 01.02.2011,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Абон. плата,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,28.57,600,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005194 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002231 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005194,01.03.2026 23:59:59,Услуги,ГОРПТУС ООО,3128057285,312801001,Договор №19563,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Абон. плата,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,80,1680,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005195 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002233 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
