employee_id,snapshot_date,hire_date,termination_date,attrition_90d,contact_center,project,team,tenure_months,shift_type,workload_pct,overtime_hours_30d,absence_days_90d,late_shifts_90d,schedule_adherence_pct,productivity_score,quality_score,csat_score,engagement_score,manager_changed_90d,training_hours_90d,exit_reason
SYN-00040,2025-02-11,2024-05-17,,0,Омск,Поддержка,Команда 01,9,Дневная,89.89,0,2,0,94.68,81.58,84.34,4.1,74.35,0,5.39,
SYN-00041,2024-04-12,2019-06-08,2024-06-20,1,Москва,Поддержка,Команда 10,59,Дневная,90.05,23.32,4,2,86.77,80.75,91.75,4.2,33.34,1,11.68,Низкая вовлечённость
SYN-00042,2025-04-16,2023-10-24,2025-07-02,1,Казань,Удержание,Команда 02,18,Дневная,91.33,3.95,5,5,81.02,76.5,85.07,4.73,78.91,0,8.5,Смена графика
SYN-00043,2025-05-12,2023-02-22,2025-07-12,1,Омск,Продажи,Команда 07,27,Дневная,94.18,10.25,6,1,81.57,80.61,86.84,4.63,44.81,0,0,Низкая вовлечённость
SYN-00044,2025-11-08,2021-07-02,,0,Омск,Удержание,Команда 09,53,Дневная,88.47,5.18,1,2,96.69,85.04,74.67,4.32,74.64,0,0,
SYN-00045,2024-07-21,2023-04-28,,0,Москва,Удержание,Команда 03,15,Дневная,107.0,0,3,0,91.3,71.99,86.4,4.07,58.21,1,8.91,
SYN-00046,2026-01-01,2023-03-18,,0,Казань,Поддержка,Команда 02,34,Ночная,51.94,0,0,2,96.53,87.35,83.18,4.42,59.35,0,5.62,
SYN-00047,2025-04-15,2022-04-01,,0,Казань,Удержание,Команда 03,37,Смешанная,88.24,7.76,6,2,82.35,78.88,85.79,4.31,83.06,0,4.46,
SYN-00048,2025-05-04,2023-05-15,,0,Казань,Поддержка,Команда 12,24,Дневная,59.82,8.36,1,0,95.92,89.28,91.96,4.18,98.15,0,4.75,
SYN-00049,2024-04-12,2019-10-06,,0,Казань,Удержание,Команда 05,55,Дневная,103.07,3.48,0,2,98.29,77.79,86.62,4.56,92.95,0,10.45,
SYN-00050,2024-01-02,2021-02-16,,0,Казань,Удержание,Команда 04,35,Дневная,71.59,22.54,5,1,92.1,63.4,84.71,3.95,69.83,0,13.57,
SYN-00051,2024-04-02,2023-03-09,2024-04-13,1,Казань,Продажи,Команда 10,13,Дневная,86.09,0,5,0,91.05,64.69,86.85,4.08,49.59,0,1.26,Низкая вовлечённость
SYN-00052,2025-06-20,2020-11-13,,0,Казань,Поддержка,Команда 10,56,Дневная,87.91,4.73,7,4,86.69,79.57,86.61,4.06,71.01,0,11.63,
SYN-00053,2024-09-08,2022-02-21,,0,Москва,Поддержка,Команда 02,31,Дневная,56.9,15.07,1,9,83.83,90.74,69.82,4.06,49.67,0,8.33,
SYN-00054,2024-02-04,2021-12-16,,0,Казань,Удержание,Команда 08,26,Дневная,92.6,0,0,0,98.16,76.6,82.21,4.26,91.36,0,10.77,
SYN-00055,2024-09-05,2020-05-29,,0,Омск,Удержание,Команда 04,52,Смешанная,70.4,18.29,0,4,93.71,79.2,92.62,3.94,74.5,1,1.68,
SYN-00056,2025-06-14,2021-04-06,,0,Омск,Поддержка,Команда 06,51,Дневная,81.66,19.7,6,0,84.67,70.64,69.78,4.61,60.71,0,12.82,
SYN-00057,2025-09-15,2021-07-08,,0,Казань,Удержание,Команда 12,51,Смешанная,114.53,12.48,1,1,93.83,85.49,85.92,3.92,77.34,0,6.52,
SYN-00058,2024-12-15,2024-02-19,,0,Москва,Удержание,Команда 10,10,Ночная,88.08,13.94,0,2,85.98,68.74,82.71,4.08,70.58,0,7.67,
SYN-00059,2025-11-03,2022-01-23,,0,Москва,Продажи,Команда 11,46,Дневная,91.53,30.38,1,6,81.71,92.69,86.86,4.39,54.35,1,13.05,
SYN-00060,2025-03-02,2022-05-17,,0,Омск,Удержание,Команда 04,34,Смешанная,83.13,21.5,0,1,90.87,86.26,93.46,3.91,80.93,0,6.59,
SYN-00061,2024-11-17,2023-11-23,,0,Казань,Поддержка,Команда 12,12,Ночная,77.75,13.31,2,2,86.1,72.74,89.09,4.16,64.51,0,1.17,
SYN-00062,2024-10-02,2020-05-26,,0,Москва,Поддержка,Команда 07,53,Дневная,92.27,18.12,0,0,95.29,81.64,84.86,4.59,64.33,0,12.61,
SYN-00063,2024-04-19,2022-07-29,,0,Казань,Поддержка,Команда 01,21,Ночная,90.0,8.63,6,1,87.35,86.72,85.6,4.01,74.79,0,5.15,
SYN-00064,2025-04-06,2021-12-23,,0,Казань,Поддержка,Команда 03,40,Дневная,67.15,4.19,0,0,89.1,77.88,90.25,5,79.04,0,7.09,
SYN-00065,2024-12-02,2024-03-07,,0,Москва,Удержание,Команда 01,9,Дневная,88.46,16.44,0,1,100,91.72,81.79,4.5,62.09,0,8.75,
SYN-00066,2024-11-12,2021-07-01,,0,Омск,Продажи,Команда 01,41,Дневная,88.75,11.89,1,0,90.14,87.46,89.47,4.42,68.37,0,0.67,
SYN-00067,2025-09-02,2021-02-25,,0,Казань,Удержание,Команда 05,55,Ночная,70.22,9.87,1,0,87.45,69.23,76.98,4.22,97.48,0,4.57,
SYN-00068,2025-02-07,2021-02-28,,0,Казань,Продажи,Команда 07,48,Смешанная,82.76,10.14,0,0,97.68,68.36,84.67,4.54,80.63,0,14.17,
SYN-00069,2024-01-04,2022-07-13,,0,Казань,Удержание,Команда 10,18,Дневная,89.75,0,1,2,98.84,77.9,90.7,4.35,82.73,0,9.14,
SYN-00070,2024-05-10,2024-01-11,,0,Омск,Продажи,Команда 08,4,Дневная,70.81,2.6,1,1,91.19,74.3,89.9,4.64,92.0,1,5.74,
SYN-00071,2024-11-05,2022-03-21,,0,Казань,Продажи,Команда 03,32,Дневная,88.86,2.97,4,0,83.69,81.74,86.79,4.11,57.44,0,7.99,
SYN-00072,2025-01-04,2021-02-24,,0,Омск,Продажи,Команда 08,47,Ночная,110.15,12.63,5,1,83.95,74.19,79.22,5,63.08,0,7.6,
SYN-00073,2025-10-08,2020-11-03,,0,Казань,Поддержка,Команда 01,60,Ночная,76.99,7.23,0,2,82.25,77.99,84.27,4.95,75.58,0,2.29,
SYN-00074,2026-01-05,2025-02-09,2026-04-03,1,Казань,Удержание,Команда 07,11,Дневная,82.78,23.86,2,2,91.44,77.43,81.98,4.16,67.53,0,10.22,Смена графика
SYN-00075,2024-07-01,2020-11-19,,0,Москва,Поддержка,Команда 05,44,Дневная,77.69,8.85,0,0,100,88.18,95.92,4.09,66.73,1,6.42,
SYN-00076,2024-05-20,2021-02-05,,0,Москва,Удержание,Команда 07,40,Дневная,98.1,23.94,1,0,100,68.49,73.85,4.09,55.34,0,10.19,
SYN-00077,2025-12-13,2025-08-15,,0,Москва,Продажи,Команда 12,4,Дневная,93.51,9.71,0,4,91.81,81.82,87.74,4.0,72.55,0,8.03,
SYN-00078,2025-05-16,2024-05-21,,0,Омск,Продажи,Команда 10,12,Дневная,112.26,14.37,8,0,84.1,91.25,63.58,3.83,73.27,0,7.21,
SYN-00079,2025-11-05,2021-11-26,,0,Казань,Удержание,Команда 04,48,Ночная,84.51,10.18,1,0,83.81,94.07,79.88,4.85,69.36,0,2.0,
SYN-00080,2024-08-01,2024-04-03,,0,Казань,Поддержка,Команда 03,4,Дневная,67.78,9.58,0,0,97.36,95.68,76.4,4.96,71.89,0,9.46,
SYN-00081,2024-07-16,2023-07-22,,0,Казань,Поддержка,Команда 06,12,Смешанная,73.92,4.15,1,0,92.63,89.37,77.32,4.18,46.22,1,8.0,
SYN-00082,2026-01-08,2023-10-21,,0,Омск,Удержание,Команда 07,27,Дневная,80.77,0,5,0,82.47,88.47,93.92,4.56,80.81,0,3.8,
SYN-00083,2025-01-18,2024-07-22,,0,Омск,Поддержка,Команда 04,6,Дневная,89.06,12.82,6,1,83.81,70.1,77.09,4.34,76.71,0,7.63,
SYN-00084,2024-09-02,2022-07-15,,0,Казань,Удержание,Команда 05,26,Ночная,74.36,4.27,0,0,100,67.59,84.83,4.4,68.62,1,7.72,
SYN-00085,2024-06-06,2021-11-19,,0,Омск,Поддержка,Команда 03,31,Дневная,71.52,18.28,1,2,94.15,79.27,83.45,4.07,78.98,0,15.76,
SYN-00086,2025-11-13,2024-10-19,,0,Казань,Удержание,Команда 05,13,Ночная,79.64,7.08,6,0,81.8,88.1,79.82,4.05,72.41,0,0.0,
SYN-00087,2024-07-20,2024-03-22,,0,Москва,Поддержка,Команда 10,4,Смешанная,80.95,4.03,0,1,94.6,80.88,75.3,4.31,70.29,0,6.15,
SYN-00088,2024-05-06,2022-02-16,,0,Казань,Продажи,Команда 09,27,Дневная,83.81,13.12,4,6,82.92,79.14,90.87,4.54,62.6,0,13.86,
SYN-00089,2024-04-03,2022-12-10,,0,Омск,Поддержка,Команда 10,16,Дневная,73.53,17.5,3,2,90.5,89.06,93.72,4.22,71.93,0,9.14,
SYN-00090,2025-07-09,2025-03-11,,0,Омск,Продажи,Команда 11,4,Смешанная,107.93,11.98,0,2,99.99,79.11,95.28,4.43,82.07,0,6.39,
SYN-00091,2024-08-04,2021-01-22,,0,Москва,Продажи,Команда 10,43,Дневная,84.84,6.67,4,0,90.97,80.5,90.9,4.96,49.11,0,9.86,
SYN-00092,2024-04-01,2020-06-21,,0,Омск,Удержание,Команда 02,46,Смешанная,100.36,8.41,0,1,89.04,73.65,86.21,3.98,51.61,0,6.18,
SYN-00093,2025-12-02,2021-05-27,,0,Омск,Удержание,Команда 03,55,Дневная,77.57,15.3,7,2,85.51,80.24,75.3,4.52,70.2,0,11.41,
SYN-00094,2026-03-06,2023-04-21,,0,Омск,Удержание,Команда 07,35,Дневная,66.12,20.04,3,0,99.28,64.4,89.06,4.62,75.74,0,5.97,
SYN-00095,2024-11-02,2021-06-21,,0,Казань,Продажи,Команда 12,41,Ночная,78.47,11.55,4,1,84.11,90.07,80.8,4.56,45.8,0,4.16,
SYN-00096,2024-11-15,2024-04-19,,0,Москва,Удержание,Команда 04,7,Смешанная,98.23,7.58,0,5,87.25,72.75,88.71,4.48,58.19,0,10.0,
SYN-00097,2025-08-07,2021-04-30,2025-09-01,1,Казань,Поддержка,Команда 06,52,Дневная,90.06,0,1,1,85.47,84.47,91.17,4.8,89.65,0,4.4,Смена работодателя
SYN-00098,2025-07-07,2022-07-23,,0,Москва,Поддержка,Команда 08,36,Дневная,75.33,0.95,0,4,85.59,93.96,94.21,4.63,82.89,0,8.57,
SYN-00099,2025-07-12,2021-03-05,,0,Омск,Удержание,Команда 12,53,Дневная,84.1,21.61,0,2,86.83,67.31,85.33,4.72,51.78,0,1.62,
SYN-00100,2025-06-15,2022-10-29,,0,Омск,Поддержка,Команда 07,32,Дневная,101.54,16.77,2,3,92.89,87.91,82.39,4.12,75.34,0,8.35,
SYN-00101,2025-10-04,2022-03-24,2025-12-17,1,Омск,Поддержка,Команда 03,43,Смешанная,109.9,9.39,2,4,82.2,85.13,85.66,4.72,65.84,0,0,Смена графика
SYN-00102,2025-10-08,2021-02-01,2025-12-17,1,Омск,Поддержка,Команда 01,57,Дневная,100.76,28.37,6,0,92.78,75.7,85.89,4.46,50.8,0,10.58,Низкая вовлечённость
SYN-00103,2025-12-06,2022-09-23,,0,Москва,Продажи,Команда 10,39,Смешанная,90.79,9.43,4,0,96.65,92.07,83.47,4.88,92.03,0,8.88,
SYN-00104,2025-07-20,2025-01-21,,0,Москва,Продажи,Команда 07,6,Дневная,101.74,19.37,0,0,98.41,78.32,96.67,4.25,72.7,0,0,
SYN-00105,2026-03-07,2023-12-18,2026-03-25,1,Омск,Удержание,Команда 05,27,Смешанная,89.77,14.23,2,2,86.3,84.66,79.77,4.22,40.61,1,6.45,Низкая вовлечённость
SYN-00106,2025-09-03,2021-11-23,,0,Омск,Продажи,Команда 06,46,Дневная,71.46,0,0,1,100,75.81,87.42,4.86,76.71,0,5.1,
SYN-00107,2024-06-14,2020-11-02,,0,Омск,Удержание,Команда 12,44,Ночная,88.66,8.36,3,2,83.65,57.6,79.22,4.49,62.06,0,4.39,
SYN-00108,2025-09-20,2025-07-22,,0,Омск,Поддержка,Команда 12,2,Дневная,75.18,17.99,0,1,89.56,73.06,84.06,4.37,71.31,0,17.83,
SYN-00109,2025-08-16,2024-12-19,2025-11-09,1,Казань,Продажи,Команда 12,8,Ночная,96.56,16.42,2,0,90.41,75.33,86.87,4.55,65.99,0,11.51,Личные причины
SYN-00110,2024-04-19,2022-03-01,,0,Москва,Продажи,Команда 06,26,Смешанная,108.71,18.47,4,0,92.54,69.31,81.67,4.22,65.06,0,15.62,
SYN-00111,2025-06-12,2021-01-04,,0,Москва,Продажи,Команда 08,54,Смешанная,101.34,18.15,1,3,87.44,84.89,79.43,4.94,64.39,0,4.03,
SYN-00112,2024-02-11,2019-12-04,,0,Казань,Удержание,Команда 03,51,Ночная,86.13,0,0,3,90.14,67.06,86.84,3.87,80.48,0,7.12,
SYN-00113,2025-10-07,2023-01-21,2025-10-26,1,Омск,Удержание,Команда 07,33,Дневная,70.08,24.95,4,1,86.67,69.64,73.99,4.18,77.77,0,4.59,Высокая нагрузка
SYN-00114,2025-03-07,2022-06-21,2025-05-24,1,Казань,Поддержка,Команда 01,33,Ночная,90.3,17.66,1,0,96.17,83.8,90.54,4.38,43.49,0,0,Низкая вовлечённость
SYN-00115,2025-10-03,2023-02-16,,0,Омск,Продажи,Команда 11,32,Дневная,86.52,6.87,1,1,92.81,59.68,75.58,4.16,78.78,0,17.24,
SYN-00116,2024-04-19,2019-07-15,,0,Москва,Продажи,Команда 10,58,Ночная,111.39,20.39,2,0,96.83,77.28,90.83,4.07,63.9,1,1.92,
SYN-00117,2025-03-16,2024-03-21,,0,Омск,Продажи,Команда 04,12,Дневная,86.24,0,2,1,88.13,67.11,80.43,4.11,72.32,0,3.52,
SYN-00118,2025-01-16,2023-04-27,,0,Омск,Поддержка,Команда 07,21,Дневная,96.4,10.3,2,5,87.65,87.83,86.72,4.78,67.44,0,16.98,
SYN-00119,2025-03-03,2021-03-24,2025-04-27,1,Казань,Поддержка,Команда 06,48,Дневная,107.24,19.77,1,9,88.23,78.54,76.79,4.75,73.16,0,10.79,Смена работодателя
SYN-00120,2025-01-20,2022-08-04,,0,Казань,Продажи,Команда 11,30,Дневная,81.18,0,5,5,78.54,91.38,74.1,3.79,73.35,0,5.74,
SYN-00121,2024-04-10,2023-09-13,,0,Омск,Поддержка,Команда 06,7,Дневная,85.54,14.44,2,0,89.56,83.53,92.24,4.58,74.49,0,10.13,
SYN-00122,2025-03-12,2024-09-13,,0,Омск,Поддержка,Команда 06,6,Ночная,66.69,2.47,3,4,95.81,74.0,84.95,4.54,60.68,0,10.81,
SYN-00123,2025-05-03,2022-01-19,,0,Казань,Удержание,Команда 04,40,Дневная,93.68,0,0,0,95.24,74.81,80.05,4.07,78.77,0,10.55,
SYN-00124,2026-02-16,2022-12-04,,0,Москва,Поддержка,Команда 09,39,Дневная,93.13,3.69,0,1,92.75,79.77,87.73,4.9,79.7,0,4.58,
SYN-00125,2026-02-11,2025-02-16,,0,Москва,Удержание,Команда 10,12,Дневная,94.5,22.51,4,0,91.58,76.96,79.12,4.12,52.92,0,7.77,
SYN-00126,2025-06-04,2023-05-16,,0,Казань,Продажи,Команда 04,25,Ночная,99.34,2.76,1,1,90.22,87.95,82.63,4.07,68.41,0,8.24,
SYN-00127,2025-01-15,2021-10-03,,0,Омск,Продажи,Команда 05,40,Дневная,102.36,12.28,6,0,84.2,91.57,77.89,4.35,75.6,0,12.09,
SYN-00128,2024-05-17,2020-10-05,2024-07-05,1,Москва,Продажи,Команда 06,44,Дневная,84.6,6.08,3,0,86.55,77.13,79.14,4.21,88.96,0,11.06,Личные причины
SYN-00129,2024-07-01,2021-02-17,,0,Москва,Продажи,Команда 08,41,Дневная,98.58,12.47,3,5,91.02,84.91,78.88,4.58,76.56,0,10.54,
SYN-00130,2024-06-20,2020-06-11,,0,Казань,Поддержка,Команда 06,49,Дневная,103.62,11.65,1,3,89.62,78.54,83.22,4.42,66.46,0,4.18,
SYN-00131,2025-11-21,2023-09-03,,0,Омск,Продажи,Команда 11,27,Смешанная,71.79,0,1,2,97.08,95.93,80.35,4.59,82.59,0,8.9,
SYN-00132,2025-07-03,2024-10-06,,0,Омск,Удержание,Команда 07,9,Дневная,76.01,16.02,0,0,100,83.77,80.23,4.12,60.5,1,9.04,
SYN-00133,2024-02-13,2022-08-22,,0,Казань,Продажи,Команда 09,18,Ночная,81.47,9.13,7,0,80.65,79.63,86.13,4.41,56.9,0,15.91,
SYN-00134,2024-02-02,2021-05-18,,0,Москва,Поддержка,Команда 01,33,Смешанная,112.36,17.04,2,2,91.6,67.71,83.75,4.4,61.19,0,8.36,
SYN-00135,2025-02-16,2021-06-07,,0,Казань,Удержание,Команда 03,45,Ночная,92.56,0,0,3,95.49,76.24,91.32,4.16,69.02,1,0.58,
SYN-00136,2025-10-20,2024-07-27,,0,Москва,Продажи,Команда 11,15,Смешанная,85.57,11.79,0,1,90.26,86.7,80.92,4.23,77.12,1,9.77,
SYN-00137,2024-08-02,2022-10-12,,0,Москва,Продажи,Команда 02,22,Дневная,84.84,7.25,5,0,94.42,71.14,81.68,4.57,77.58,0,9.15,
SYN-00138,2025-12-19,2023-07-03,2026-01-14,1,Москва,Удержание,Команда 07,30,Дневная,84.7,9.35,0,2,97.67,83.28,88.32,3.96,59.73,0,12.46,Смена графика
SYN-00139,2024-09-05,2024-07-07,,0,Омск,Поддержка,Команда 11,2,Смешанная,75.54,6.38,1,1,88.24,80.34,83.74,4.67,77.81,0,7.36,
SYN-00140,2025-02-09,2024-09-12,,0,Казань,Продажи,Команда 02,5,Дневная,114.26,2.68,0,3,93.59,78.69,81.73,4.04,70.18,0,9.31,
SYN-00141,2024-04-16,2021-12-28,2024-05-25,1,Омск,Поддержка,Команда 07,28,Дневная,103.84,17.75,14,1,80.14,85.34,70.11,4.11,59.31,1,13.54,Личные причины
SYN-00142,2025-05-08,2024-05-13,,0,Казань,Поддержка,Команда 06,12,Дневная,99.31,11.15,2,0,91.47,69.5,89.57,3.75,72.88,0,9.09,
SYN-00143,2024-06-11,2022-07-22,,0,Омск,Удержание,Команда 03,23,Смешанная,103.37,9.56,2,5,91.27,75.65,99.31,4.52,75.71,0,1.56,
SYN-00144,2024-01-17,2021-08-30,,0,Омск,Продажи,Команда 06,29,Дневная,100.37,19.23,1,2,84.1,79.99,72.95,3.61,74.91,0,9.86,
SYN-00145,2025-07-13,2021-02-04,2025-08-17,1,Москва,Поддержка,Команда 01,54,Ночная,98.5,16.93,1,2,87.78,78.84,88.69,4.64,63.21,0,11.11,Личные причины
SYN-00146,2024-08-20,2021-09-05,2024-10-12,1,Казань,Продажи,Команда 11,36,Дневная,95.06,8.17,1,2,92.63,74.85,98.51,4.79,64.86,1,15.87,Личные причины
SYN-00147,2025-06-02,2024-02-08,,0,Москва,Поддержка,Команда 03,16,Дневная,108.78,20.57,3,3,91.49,83.07,83.77,4.23,75.34,0,7.5,
SYN-00148,2025-10-17,2024-09-22,,0,Казань,Удержание,Команда 02,13,Смешанная,71.63,19.44,2,1,96.03,74.4,87.8,4.23,54.39,1,3.78,
SYN-00149,2025-04-20,2020-10-13,2025-07-11,1,Москва,Удержание,Команда 11,55,Дневная,114.36,16.09,4,1,96.44,70.95,90.8,3.51,67.85,0,9.47,Смена графика
SYN-00150,2024-07-15,2022-04-27,,0,Казань,Удержание,Команда 01,27,Дневная,100.94,0,1,0,97.47,87.04,75.59,5,98.83,0,9.25,
SYN-00151,2025-12-09,2023-12-20,,0,Москва,Поддержка,Команда 02,24,Дневная,77.07,9.92,3,0,93.63,76.65,89.6,4.66,81.27,0,13.27,
SYN-00152,2026-02-09,2024-06-19,,0,Казань,Продажи,Команда 02,20,Дневная,89.01,9.52,4,0,87.35,95.11,89.44,4.2,84.84,0,0.56,
SYN-00153,2024-01-05,2023-12-06,,0,Казань,Поддержка,Команда 05,1,Смешанная,92.5,2.25,4,0,95.02,81.27,87.86,4.37,67.57,1,6.11,
SYN-00154,2024-12-13,2022-01-28,,0,Казань,Продажи,Команда 01,35,Смешанная,75.71,7.31,3,6,83.24,86.79,79.43,4.11,80.92,0,0.07,
SYN-00155,2025-05-10,2023-12-17,2025-06-17,1,Казань,Поддержка,Команда 03,17,Дневная,88.88,11.68,1,1,84.16,91.16,84.75,4.25,51.2,0,8.87,Низкая вовлечённость
SYN-00156,2026-01-04,2021-01-30,2026-02-10,1,Омск,Поддержка,Команда 12,60,Дневная,81.87,6.14,14,2,74.35,83.18,82.38,4.49,58.22,0,1.17,Смена графика
